"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 22, 2021","22,197.03","21,768.34","22,285.53","21,728.00","-","2.17%"
"Aug 15, 2021","21,726.06","21,961.27","21,961.27","21,389.99","-","-1.07%"
"Aug 08, 2021","21,961.27","21,354.75","22,086.08","21,166.26","-","2.84%"
"Aug 01, 2021","21,354.75","21,238.31","21,381.93","20,897.20","-","0.55%"
"Jul 25, 2021","21,238.31","20,974.61","21,408.90","20,625.37","-","1.26%"
"Jul 18, 2021","20,974.61","20,831.74","21,698.26","20,819.42","-","0.69%"
"Jul 11, 2021","20,831.74","21,325.90","21,484.85","20,800.83","-","-2.32%"
"Jul 04, 2021","21,325.90","21,662.01","21,676.11","20,822.99","-","-1.55%"
"Jun 27, 2021","21,662.01","21,845.32","21,921.92","21,497.41","-","-0.84%"
"Jun 20, 2021","21,845.32","21,562.97","22,286.50","21,562.97","-","1.31%"
"Jun 13, 2021","21,562.97","21,660.12","22,069.99","21,509.85","-","-0.45%"
"Jun 06, 2021","21,660.12","21,281.70","21,692.58","20,854.55","-","1.78%"
"May 30, 2021","21,281.70","21,433.57","22,192.59","21,076.92","-","-0.71%"
"May 23, 2021","21,433.57","20,593.94","21,549.14","20,535.12","-","4.08%"
"May 16, 2021","20,593.94","23,054.59","23,054.59","20,250.05","-","-10.67%"
"May 09, 2021","23,054.59","23,293.92","23,487.13","22,440.49","-","-1.03%"
"May 02, 2021","23,293.92","22,623.22","23,831.42","22,623.22","-","2.96%"
"Apr 25, 2021","22,623.22","24,425.34","24,726.67","22,618.96","-","-7.38%"
"Apr 18, 2021","24,425.34","25,153.90","25,240.12","24,304.12","-","-2.90%"
"Apr 11, 2021","25,153.90","25,000.06","25,198.43","24,655.51","-","0.62%"
"Apr 04, 2021","25,000.06","24,645.73","25,000.06","24,416.47","-","1.44%"
"Mar 28, 2021","24,645.73","24,450.98","24,943.11","24,450.98","-","0.80%"
"Mar 21, 2021","24,450.98","24,475.46","24,530.05","23,867.39","-","-0.10%"
"Mar 14, 2021","24,475.46","24,623.13","24,793.14","24,306.94","-","-0.60%"
"Mar 07, 2021","24,623.13","23,784.48","24,804.38","23,635.19","-","3.53%"
"Feb 28, 2021","23,784.48","23,099.23","24,161.53","23,099.23","-","2.97%"
"Feb 21, 2021","23,099.23","23,323.98","23,323.98","22,691.59","-","-0.96%"
"Feb 14, 2021","23,323.98","23,201.71","23,578.77","22,756.44","-","0.53%"
"Feb 07, 2021","23,201.71","22,478.25","23,201.71","22,478.25","-","3.22%"
"Jan 31, 2021","22,478.25","21,681.02","22,515.44","21,681.02","-","3.68%"
"Jan 24, 2021","21,681.02","22,622.86","22,896.13","21,677.60","-","-4.16%"
"Jan 17, 2021","22,622.86","22,972.11","23,584.11","22,622.86","-","-1.52%"
"Jan 10, 2021","22,972.11","22,813.87","23,387.44","22,545.03","-","0.69%"
"Jan 03, 2021","22,813.87","21,007.46","22,855.82","21,007.46","-","8.60%"
"Dec 27, 2020","21,007.46","20,737.71","21,183.47","20,737.71","-","1.30%"
"Dec 20, 2020","20,737.71","21,059.56","21,183.75","20,618.38","-","-1.53%"
"Dec 13, 2020","21,059.56","20,473.05","21,244.12","20,280.53","-","2.86%"
"Dec 06, 2020","20,473.05","20,933.36","20,957.23","20,338.58","-","-2.20%"
"Nov 29, 2020","20,933.36","20,593.35","21,034.65","20,228.34","-","1.65%"
"Nov 22, 2020","20,593.35","20,263.83","20,976.71","20,263.83","-","1.63%"
"Nov 15, 2020","20,263.83","19,994.46","20,502.93","19,981.27","-","1.35%"
"Nov 08, 2020","19,994.46","19,105.92","20,052.51","19,105.92","-","4.65%"
"Nov 01, 2020","19,105.92","17,918.79","19,120.87","17,683.54","-","6.63%"
"Oct 25, 2020","17,918.79","19,176.36","19,178.41","17,908.84","-","-6.56%"
"Oct 18, 2020","19,176.36","18,457.24","19,286.20","18,408.51","-","3.90%"
"Oct 11, 2020","18,457.24","18,624.21","18,683.27","18,359.21","-","-0.90%"
"Oct 04, 2020","18,624.21","18,591.26","18,733.24","18,200.54","-","0.18%"
"Sep 27, 2020","18,591.26","18,242.01","18,629.88","18,017.63","-","1.91%"
"Sep 20, 2020","18,242.01","18,901.50","18,901.50","17,909.37","-","-3.49%"
"Sep 13, 2020","18,901.50","18,848.87","19,004.85","18,681.09","-","0.28%"
"Sep 06, 2020","18,848.87","19,314.43","19,511.23","18,608.16","-","-2.41%"
"Aug 30, 2020","19,314.43","19,648.00","19,702.01","19,020.61","-","-1.70%"
"Aug 23, 2020","19,648.00","20,199.05","20,281.88","19,536.35","-","-2.73%"
"Aug 16, 2020","20,199.05","20,313.07","20,472.16","20,090.03","-","-0.56%"
"Aug 09, 2020","20,313.07","20,143.00","20,562.95","20,131.67","-","0.84%"
"Aug 02, 2020","20,143.00","20,271.65","20,272.27","19,858.44","-","-0.63%"
"Jul 26, 2020","20,271.65","20,285.07","20,622.61","19,862.75","-","-0.07%"
"Jul 19, 2020","20,285.07","20,217.82","20,346.21","19,603.57","-","0.33%"
"Jul 12, 2020","20,217.82","20,369.25","21,177.88","20,101.69","-","-0.74%"
"Jul 05, 2020","20,369.25","21,147.76","21,672.20","20,246.40","-","-3.68%"
"Jun 28, 2020","21,147.76","20,100.36","21,233.30","19,967.63","-","5.21%"
"Jun 21, 2020","20,100.36","20,234.55","20,362.13","20,027.78","-","-0.66%"
"Jun 14, 2020","20,234.55","19,990.18","20,266.62","19,576.87","-","1.22%"
"Jun 07, 2020","19,990.18","20,215.54","20,766.96","19,735.90","-","-1.11%"
"May 31, 2020","20,215.54","18,362.54","20,312.12","18,227.89","-","10.09%"
"May 24, 2020","18,362.54","18,773.02","19,077.45","18,131.37","-","-2.19%"
"May 17, 2020","18,773.02","18,213.33","19,032.06","18,213.33","-","3.07%"
"May 10, 2020","18,213.33","19,172.32","19,367.19","17,863.66","-","-5.00%"
"May 03, 2020","19,172.32","19,823.33","20,127.74","19,166.19","-","-3.28%"
"Apr 26, 2020","19,823.33","18,483.21","20,018.72","18,483.21","-","7.25%"
"Apr 19, 2020","18,483.21","19,160.19","19,175.67","18,343.65","-","-3.53%"
"Apr 12, 2020","19,160.19","19,134.03","19,638.21","18,843.14","-","0.14%"
"Apr 05, 2020","19,134.03","18,298.05","19,324.90","18,298.05","-","4.57%"
"Mar 29, 2020","18,298.05","16,224.74","18,405.98","16,224.74","-","12.78%"
"Mar 22, 2020","16,224.74","15,597.19","16,809.72","14,770.89","-","4.02%"
"Mar 15, 2020","15,597.19","18,896.25","18,902.66","14,595.80","-","-17.46%"
"Mar 08, 2020","18,896.25","21,165.59","21,165.59","18,548.68","-","-10.72%"
"Mar 01, 2020","21,165.59","20,748.06","21,828.76","20,742.89","-","2.01%"
"Feb 23, 2020","20,748.06","22,726.97","22,726.97","20,748.06","-","-8.71%"
"Feb 16, 2020","22,726.97","23,345.11","23,350.96","22,596.74","-","-2.65%"
"Feb 09, 2020","23,345.11","23,469.59","23,475.29","23,169.87","-","-0.53%"
"Feb 02, 2020","23,469.59","22,958.19","23,560.80","22,955.32","-","2.23%"
"Jan 26, 2020","22,958.19","23,310.20","23,316.35","22,718.76","-","-1.51%"
"Jan 19, 2020","23,310.20","24,392.02","24,449.98","23,191.35","-","-4.44%"
"Jan 12, 2020","24,392.02","24,861.18","24,886.46","24,231.62","-","-1.89%"
"Jan 05, 2020","24,861.18","24,141.94","24,876.97","23,910.60","-","2.98%"
"Dec 29, 2019","24,141.94","23,376.72","24,143.02","23,308.36","-","3.27%"
"Dec 22, 2019","23,376.72","23,662.72","23,739.15","23,242.33","-","-1.21%"
"Dec 15, 2019","23,662.72","24,350.41","24,455.74","23,530.63","-","-2.82%"
"Dec 08, 2019","24,350.41","23,560.12","24,451.33","23,514.16","-","3.35%"
"Dec 01, 2019","23,560.12","22,705.71","23,713.32","22,373.80","-","3.76%"
"Nov 24, 2019","22,705.71","23,605.28","23,607.56","22,487.15","-","-3.81%"
"Nov 17, 2019","23,605.28","24,218.58","24,356.40","23,431.08","-","-2.53%"
"Nov 10, 2019","24,218.59","23,470.37","24,240.69","22,037.73","-","3.19%"
"Nov 03, 2019","23,470.37","23,838.15","24,261.23","22,937.52","-","-1.54%"
"Oct 27, 2019","23,838.15","24,888.28","25,006.95","23,713.09","-","-4.22%"
"Oct 20, 2019","24,888.28","26,136.79","26,145.33","24,513.82","-","-4.78%"
"Oct 13, 2019","26,136.79","25,871.53","26,138.18","25,806.33","-","1.03%"
"Oct 06, 2019","25,871.53","25,400.26","25,874.21","25,320.09","-","1.86%"
"Sep 29, 2019","25,400.26","25,637.41","25,731.85","25,129.91","-","-0.93%"
"Sep 22, 2019","25,637.41","25,502.12","25,842.40","24,973.50","-","0.53%"
"Sep 15, 2019","25,502.12","25,191.15","25,502.12","25,110.85","-","1.23%"
"Sep 08, 2019","25,191.15","24,351.49","25,216.26","24,340.89","-","3.48%"
"Sep 01, 2019","24,345.13","24,278.74","24,412.54","23,885.10","-","0.27%"
"Aug 25, 2019","24,278.74","23,637.94","24,285.11","23,347.49","-","2.71%"
"Aug 18, 2019","23,637.94","24,385.55","24,524.00","23,618.32","-","-3.07%"
"Aug 11, 2019","24,385.55","24,902.87","24,902.87","24,280.66","-","-2.08%"
"Aug 04, 2019","24,902.87","24,855.01","25,031.82","24,258.82","-","0.19%"
"Jul 28, 2019","24,855.01","25,292.82","25,416.11","24,794.71","-","-1.73%"
"Jul 21, 2019","25,292.82","25,669.67","25,716.95","25,239.25","-","-1.47%"
"Jul 14, 2019","25,669.67","25,732.13","25,806.52","25,563.67","-","-0.24%"
"Jul 07, 2019","25,732.13","25,779.57","25,836.75","25,612.72","-","-0.18%"
"Jun 30, 2019","25,779.58","25,782.13","25,904.49","25,511.99","-","-0.01%"
"Jun 23, 2019","25,782.14","25,714.00","25,895.85","25,666.78","-","0.26%"
"Jun 16, 2019","25,714.00","25,706.91","25,726.05","25,521.41","-","0.03%"
"Jun 09, 2019","25,706.91","25,241.13","25,872.43","25,241.13","-","1.85%"
"Jun 02, 2019","25,241.14","25,352.28","25,623.28","25,113.43","-","-0.44%"
"May 26, 2019","25,352.28","24,952.52","25,408.78","24,600.97","-","1.60%"
"May 19, 2019","24,952.52","25,186.32","25,279.29","24,952.52","-","-0.93%"
"May 12, 2019","25,186.32","25,742.93","25,878.26","25,183.62","-","-2.16%"
"May 05, 2019","25,742.93","26,097.01","26,180.05","25,557.15","-","-1.36%"
"Apr 28, 2019","26,097.01","26,334.43","26,373.90","26,097.01","-","-0.90%"
"Apr 21, 2019","26,334.43","26,654.85","26,663.76","26,148.63","-","-1.20%"
"Apr 14, 2019","26,654.85","26,570.00","26,739.30","26,510.46","-","0.32%"
"Apr 07, 2019","26,570.00","26,622.84","26,805.16","26,507.21","-","-0.20%"
"Mar 31, 2019","26,622.84","26,643.94","26,775.12","26,380.57","-","-0.08%"
"Mar 24, 2019","26,643.94","26,409.77","26,648.64","26,154.79","-","0.89%"
"Mar 17, 2019","26,409.77","26,880.72","26,964.34","26,262.11","-","-1.75%"
"Mar 10, 2019","26,880.73","26,704.92","26,979.40","26,699.59","-","0.66%"
"Mar 03, 2019","26,704.92","26,742.03","26,817.51","26,445.83","-","-0.14%"
"Feb 24, 2019","26,742.03","27,638.81","27,779.10","26,711.07","-","-3.24%"
"Feb 17, 2019","27,638.81","27,299.02","27,649.52","27,127.95","-","1.24%"
"Feb 10, 2019","27,299.02","27,223.76","27,313.59","27,124.89","-","0.28%"
"Feb 03, 2019","27,223.77","27,508.46","27,628.38","27,142.76","-","-1.03%"
"Jan 27, 2019","27,508.46","27,431.38","27,515.10","27,159.12","-","0.28%"
"Jan 20, 2019","27,431.39","27,598.82","27,625.89","27,005.78","-","-0.61%"
"Jan 13, 2019","27,598.82","27,047.95","27,602.05","26,881.31","-","2.04%"
"Jan 06, 2019","27,047.95","26,300.69","27,075.89","26,255.61","-","2.84%"
"Dec 30, 2018","26,300.69","25,949.84","26,322.92","25,781.76","-","1.35%"
"Dec 23, 2018","25,949.84","25,725.57","25,978.41","25,514.53","-","0.87%"
"Dec 16, 2018","25,725.57","26,184.48","26,194.73","25,536.94","-","-1.75%"
"Dec 09, 2018","26,184.48","25,878.97","26,211.19","25,499.92","-","1.18%"
"Dec 02, 2018","25,878.97","25,965.55","26,292.46","25,773.73","-","-0.33%"
"Nov 25, 2018","25,965.55","26,095.50","26,156.28","25,886.88","-","-0.50%"
"Nov 18, 2018","26,095.50","26,328.34","26,385.26","25,923.49","-","-0.88%"
"Nov 11, 2018","26,328.34","26,301.23","26,361.75","26,060.91","-","0.10%"
"Nov 04, 2018","26,301.23","25,979.23","26,710.38","25,979.23","-","1.24%"
