"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 25, 2021","77.560","80.500","80.500","76.000","50.01M","-3.96%"
"Jul 18, 2021","80.760","81.160","85.000","79.500","29.00M","0.99%"
"Jul 11, 2021","79.970","84.000","84.000","78.600","13.78M","-5.14%"
"Jul 04, 2021","84.300","88.500","89.000","83.500","23.84M","-5.07%"
"Jun 27, 2021","88.800","90.410","91.900","84.000","32.72M","-1.78%"
"Jun 20, 2021","90.410","96.900","96.900","87.990","34.40M","-4.83%"
"Jun 13, 2021","95.000","98.642","98.642","91.372","33.04M","-2.06%"
"Jun 06, 2021","97.000","96.160","101.000","95.540","25.20M","0.87%"
"May 30, 2021","96.160","101.440","103.110","95.990","18.21M","-4.25%"
"May 23, 2021","100.430","96.000","102.120","91.000","43.61M","6.83%"
"May 16, 2021","94.010","98.000","100.000","83.000","76.28M","-7.98%"
"May 09, 2021","102.160","110.000","110.000","100.410","26.15M","-5.49%"
"May 02, 2021","108.090","106.510","114.500","104.000","47.71M","5.93%"
"Apr 25, 2021","102.040","114.100","114.130","101.360","73.71M","-9.89%"
"Apr 18, 2021","113.240","116.963","120.443","113.020","88.66M","-5.14%"
"Apr 11, 2021","119.380","114.910","119.380","114.000","37.15M","3.49%"
"Apr 04, 2021","115.350","119.000","119.870","114.800","17.44M","-2.66%"
"Mar 28, 2021","118.500","112.290","119.880","112.290","31.15M","5.53%"
"Mar 21, 2021","112.290","111.000","113.010","109.500","27.55M","0.27%"
"Mar 14, 2021","111.990","105.880","115.010","105.880","57.97M","5.69%"
"Mar 07, 2021","105.960","107.000","108.300","104.500","14.51M","-0.04%"
"Feb 28, 2021","106.000","107.000","109.000","105.000","16.25M","-0.93%"
"Feb 21, 2021","107.000","106.000","107.620","100.350","25.47M","0.94%"
"Feb 14, 2021","106.000","109.700","109.700","105.000","16.51M","-3.36%"
"Feb 07, 2021","109.680","113.000","113.000","108.000","6.28M","-1.33%"
"Jan 31, 2021","111.160","109.000","114.990","106.000","13.04M","5.87%"
"Jan 24, 2021","105.000","115.600","115.600","105.000","9.76M","-9.17%"
"Jan 17, 2021","115.600","116.000","120.000","115.250","6.49M","-1.43%"
"Jan 10, 2021","117.280","115.000","120.000","110.030","33.49M","5.99%"
"Jan 03, 2021","110.650","108.120","113.000","108.120","14.31M","3.41%"
"Dec 27, 2020","107.000","103.980","109.010","103.300","16.68M","4.77%"
"Dec 20, 2020","102.130","103.900","103.900","100.350","17.78M","-1.70%"
"Dec 13, 2020","103.900","107.000","107.000","103.900","9.50M","-2.95%"
"Dec 06, 2020","107.060","112.000","112.000","100.000","7.24M","-3.84%"
"Nov 29, 2020","111.330","116.000","117.100","110.100","18.31M","-6.33%"
"Nov 15, 2020","118.850","112.000","119.220","109.600","21.87M","10.05%"
"Nov 08, 2020","108.000","103.000","116.900","103.000","23.91M","5.24%"
"Nov 01, 2020","102.620","100.650","104.000","98.000","12.05M","1.96%"
"Oct 25, 2020","100.650","107.360","109.000","98.500","7.01M","-7.66%"
"Oct 18, 2020","109.000","108.920","113.000","101.000","43.77M","0.05%"
"Oct 11, 2020","108.950","113.000","113.000","108.200","4.50M","-3.63%"
"Oct 04, 2020","113.050","117.680","117.680","110.260","8.11M","-1.76%"
"Sep 27, 2020","115.080","117.000","118.190","114.750","21.04M","-2.47%"
"Sep 20, 2020","117.990","124.270","124.270","115.200","3.12M","-4.85%"
"Sep 13, 2020","124.000","119.010","125.000","119.010","8.11M","4.93%"
"Sep 06, 2020","118.170","126.900","127.300","113.250","15.08M","-6.58%"
"Aug 30, 2020","126.500","130.000","131.000","124.000","32.05M","-1.76%"
"Aug 23, 2020","128.770","131.610","133.900","125.000","9.87M","-1.81%"
"Aug 16, 2020","131.150","132.500","135.000","130.100","8.62M","-1.03%"
"Aug 09, 2020","132.520","137.000","138.490","131.920","16.64M","-1.05%"
"Aug 02, 2020","133.920","136.000","137.460","133.490","15.63M","-0.81%"
"Jul 26, 2020","135.010","137.000","139.990","130.000","39.14M","-1.17%"
"Jul 19, 2020","136.610","138.100","142.000","135.060","39.95M","-3.11%"
"Jul 12, 2020","141.000","147.780","150.000","140.010","16.47M","-4.59%"
"Jul 05, 2020","147.780","155.900","160.000","145.000","43.80M","-4.13%"
"Jun 28, 2020","154.150","153.700","155.500","151.250","8.85M","1.78%"
"Jun 21, 2020","151.450","156.000","156.000","150.000","32.22M","-1.97%"
"Jun 14, 2020","154.500","154.920","160.000","150.000","62.07M","3.38%"
"Jun 07, 2020","149.450","148.500","152.510","145.000","54.99M","1.21%"
"May 31, 2020","147.670","137.000","150.000","135.000","192.00M","9.39%"
"May 24, 2020","135.000","137.500","139.000","133.900","32.19M","-1.82%"
